Track Number,Directionality,Endpoint X Value,Endpoint Y Value
1,0.715,-850.578,258.273
2,0.618,148.076,242.776
3,0.679,-41.324,-39.601
4,0.779,-420.124,-51.655
5,0.779,-167.016,-175.625
6,0.908,-514.824,230.723
7,0.809,-535.485,554.426
8,0.479,-210.062,-631.907
9,0.508,-105.031,-229.002
10,0.632,-256.550,-98.144
11,0.316,-108.475,3.443
12,0.167,-476.513,-340.920
13,0.096,138.176,413.237
14,0.220,-168.092,167.662
15,0.067,-39.602,-48.212
16,0.103,18.080,-105.892
17,0.020,53.377,9.040
18,0.046,-18.940,-42.184
19,0.120,-236.535,-58.756
